2025-06-12 18:37:04,213 - SailingRulesTrainer - INFO - Weights & Biases initialized. Project: sailing-rules-assistant, Run: flan-t5-16-epochs-10
Weights & Biases initialized. Project: sailing-rules-assistant, Run: flan-t5-16-epochs-10
[34m[1mwandb[0m: [33mWARNING[0m The get_url method is deprecated and will be removed in a future release. Please use `run.url` instead.
Track your training at: https://wandb.ai/dankj-jason-dank/sailing-rules-assistant/runs/u87n1esl
2025-06-12 18:37:04,214 - SailingRulesTrainer - INFO - Starting training preparation
Map:   0%|                                                                                                                                                                                          | 0/323 [00:00<?, ? examples/s]/Users/jasondank/PycharmProjects/Flan-t5-sailing/.venv/lib/python3.13/site-packages/transformers/tokenization_utils_base.py:3959: UserWarning: `as_target_tokenizer` is deprecated and will be removed in v5 of Transformers. You can tokenize your labels by using the argument `text_target` of the regular `__call__` method (either in the same call as your input texts if you use the same keyword arguments, or in a separate call.
  warnings.warn(
Map: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 323/323 [00:00<00:00, 7370.72 examples/s]
2025-06-12 18:37:07,727 - SailingRulesTrainer - INFO - Using device: cpu
2025-06-12 18:37:07,747 - SailingRulesTrainer - WARNING - Warning: fp16 mixed precision is not supported on this device. Training with fp32 instead.
2025-06-12 18:37:07,748 - SailingRulesTrainer - INFO - Validation dataset is empty. Training without validation.
/Users/jasondank/PycharmProjects/Flan-t5-sailing/models/trainer.py:241: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Seq2SeqTrainer.__init__`. Use `processing_class` instead.
  trainer = Seq2SeqTrainer(**trainer_kwargs)
You are adding a <class 'transformers.integrations.integration_utils.WandbCallback'> to the callbacks of this Trainer, but there is already one. The currentlist of callbacks is
:DefaultFlowCallback
WandbCallback
No label_names provided for model class `PeftModelForSeq2SeqLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
2025-06-12 18:37:08,216 - SailingRulesTrainer - INFO - Starting training with 323 examples for 10 epochs

==================================================
TRAINING STARTED
==================================================
Training logs are being saved to: training.log
Track training progress in real-time at: https://wandb.ai/dankj-jason-dank/sailing-rules-assistant/runs/u87n1esl
You can safely close this terminal - training will continue in the background.
==================================================
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
  0%|                                                                                                                                                                                                      | 0/810 [00:00<?, ?it/s]/Users/jasondank/PycharmProjects/Flan-t5-sailing/.venv/lib/python3.13/site-packages/torch/utils/data/dataloader.py:683: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, then device pinned memory won't be used.
  warnings.warn(warn_msg)
Passing a tuple of `past_key_values` is deprecated and will be removed in Transformers v4.48.0. You should pass an instance of `EncoderDecoderCache` instead, e.g. `past_key_values=EncoderDecoderCache.from_legacy_cache(past_key_values)`.
                                                                                                                                                                                                                                   

{'loss': 35.6484, 'grad_norm': 6.38567590713501, 'learning_rate': 4.5e-06, 'epoch': 0.12}
{'loss': 35.5413, 'grad_norm': 6.580613613128662, 'learning_rate': 9.5e-06, 'epoch': 0.25}
{'loss': 36.2059, 'grad_norm': 6.783841609954834, 'learning_rate': 1.45e-05, 'epoch': 0.37}
{'loss': 35.194, 'grad_norm': 5.202436447143555, 'learning_rate': 1.9500000000000003e-05, 'epoch': 0.49}
{'loss': 35.4505, 'grad_norm': 8.907642364501953, 'learning_rate': 2.45e-05, 'epoch': 0.62}
{'loss': 34.6165, 'grad_norm': 7.433456897735596, 'learning_rate': 2.95e-05, 'epoch': 0.74}
{'loss': 34.4507, 'grad_norm': 7.936572551727295, 'learning_rate': 3.45e-05, 'epoch': 0.86}
{'loss': 33.6843, 'grad_norm': 9.694764137268066, 'learning_rate': 3.9500000000000005e-05, 'epoch': 0.99}
{'loss': 32.4518, 'grad_norm': 8.386953353881836, 'learning_rate': 4.4500000000000004e-05, 'epoch': 1.11}
{'loss': 31.2875, 'grad_norm': 10.75993537902832, 'learning_rate': 4.9500000000000004e-05, 'epoch': 1.23}
{'loss': 30.1405, 'grad_norm': 10.363693237304688, 'learning_rate': 4.936619718309859e-05, 'epoch': 1.36}
{'loss': 29.2738, 'grad_norm': 7.476474761962891, 'learning_rate': 4.866197183098592e-05, 'epoch': 1.48}
{'loss': 27.5486, 'grad_norm': 7.350247859954834, 'learning_rate': 4.7957746478873244e-05, 'epoch': 1.6}
{'loss': 25.9288, 'grad_norm': 8.423116683959961, 'learning_rate': 4.725352112676056e-05, 'epoch': 1.73}
{'loss': 24.5505, 'grad_norm': 8.83059024810791, 'learning_rate': 4.654929577464789e-05, 'epoch': 1.85}
{'loss': 23.2387, 'grad_norm': 7.328764915466309, 'learning_rate': 4.5845070422535214e-05, 'epoch': 1.98}
{'loss': 21.1305, 'grad_norm': 10.48979377746582, 'learning_rate': 4.514084507042254e-05, 'epoch': 2.1}
{'loss': 19.5209, 'grad_norm': 8.790948867797852, 'learning_rate': 4.4436619718309865e-05, 'epoch': 2.22}
{'loss': 17.6743, 'grad_norm': 9.378870964050293, 'learning_rate': 4.373239436619718e-05, 'epoch': 2.35}
{'loss': 15.3897, 'grad_norm': 10.439240455627441, 'learning_rate': 4.302816901408451e-05, 'epoch': 2.47}
{'loss': 12.8382, 'grad_norm': 10.854515075683594, 'learning_rate': 4.2323943661971834e-05, 'epoch': 2.59}
{'loss': 10.2751, 'grad_norm': 10.412023544311523, 'learning_rate': 4.161971830985916e-05, 'epoch': 2.72}
{'loss': 8.2972, 'grad_norm': 5.065361499786377, 'learning_rate': 4.091549295774648e-05, 'epoch': 2.84}
{'loss': 6.7661, 'grad_norm': 3.8519716262817383, 'learning_rate': 4.0211267605633804e-05, 'epoch': 2.96}
{'loss': 5.836, 'grad_norm': 2.9667561054229736, 'learning_rate': 3.950704225352112e-05, 'epoch': 3.09}
{'loss': 5.4056, 'grad_norm': 1.585923194885254, 'learning_rate': 3.880281690140845e-05, 'epoch': 3.21}
{'loss': 5.1797, 'grad_norm': 1.181266188621521, 'learning_rate': 3.8098591549295774e-05, 'epoch': 3.33}
